text,old_label,new_label,reasoning,label_changed
Ora ana wanita ireng sing bodho,0,1,"Teks tersebut mengandung generalisasi negatif terhadap kelompok wanita berdasarkan warna kulit ('ireng' - hitam), meskipun sifatnya sindiran ringan atau pernyataan stereotip daripada ancaman langsung.",True
Pengungsi ora nyenengake,1,2,"Ungkapan 'Pengungsi ora nyenengake' (Pengungsi tidak menyenangkan) menunjukkan sentimen negatif yang kuat terhadap kelompok pengungsi secara umum. Meskipun tidak secara eksplisit mengandung ancaman, penggunaan bahasa yang menyamaratakan dan merendahkan kelompok rentan seperti pengungsi dikategorikan sebagai ujaran kebencian sedang karena berpotensi memicu diskriminasi dan kebencian.",True
,0,0,Teks 'nan' adalah respons yang sangat singkat dan tidak mengandung konten yang bisa diklasifikasikan sebagai ujaran kebencian (hate speech). Ini kemungkinan adalah singkatan atau respons yang tidak lengkap.,False
iku bakal bodho ora setuju karo tampilan sing wong ireng ora pantes hak,2,2,"Teks tersebut mengandung penghinaan terhadap kelompok berdasarkan warna kulit ('wong ireng') dengan menyatakannya 'bodho' (bodoh) dan tidak pantas, yang termasuk dalam kategori ujaran kebencian sedang (kasar).",False
,0,0,"Teks yang diberikan ('nan') adalah singkatan dari 'Not a Number' atau tidak terdefinisi, dan tidak mengandung konten yang dapat diklasifikasikan sebagai ujaran kebencian dalam Bahasa Jawa.",False
,0,0,"Teks ""nan"" tidak mengandung konten yang ofensif, diskriminatif, atau mengandung unsur kebencian berdasarkan kategori yang ditentukan.",False
,1,0,"Teks yang diberikan ('nan') adalah singkatan atau kata yang tidak memiliki makna kontekstual yang jelas dalam konteks ujaran kebencian. Tidak ada konten ofensif, mengancam, atau mendiskriminasi.",True
Kita kudu ndhukung paukuman pati yen tegese lesbian bakal disingkirake saka negara kita.,3,3,Teks tersebut secara eksplisit mendukung hukuman mati ('paukuman pati') terhadap kelompok minoritas (lesbian) dengan tujuan untuk 'disingkirake' (dihilangkan/dikeluarkan) dari negara. Ini merupakan ujaran kebencian berat karena mempromosikan kekerasan ekstrem dan diskriminasi terhadap kelompok berdasarkan orientasi seksual.,False
,3,0,"Teks input ""nan"" tidak mengandung kata-kata yang memiliki konotasi kebencian, ancaman, atau diskriminasi dalam konteks Bahasa Jawa maupun umum. Kemungkinan besar ini adalah singkatan atau input yang tidak lengkap.",True
,0,0,"Teks 'nan' tidak mengandung konten yang mengarah pada ujaran kebencian, ancaman, atau hasutan berdasarkan kategori yang ditentukan.",False
