text,label,true_confidence,predicted_label,max_confidence
Aku ngerti akeh wong Cina sing misoginis.,0,0.011195878,2,0.67286444
"Ana akeh pendatang ing kene, nanging paling akeh mesthi wong-wong sing ngungsi.",0,0.018801875,1,0.86781484
"Ora banget. Wong wadon waria pancen ana, dheweke dudu lanang sing edan. Waria iku saka rasa ora nyaman karo awake dhewe, sing dudu penyakit edan.",0,0.023045793,2,0.5654993
Wong Cina ora ana hubungane,0,0.05478562,2,0.39897838
misale jek donya kudu revolve watara wong kanggo wong kanggo aran ora nyaman nulis ujian.,0,0.064933315,3,0.7070631
Negara kita ana ing kerugian nalika nerangake wong London. Aku felt sing dicokot guilty nalika aku dipindhah ing 76 & kaya saben London obah metu saka panggonan iku bakal kapenuhan dening kabèh omah Estate anyar!,0,0.14642563,1,0.74669796
re fu ge es fisik bakal ilang saka panggonan iki yen aku bisa,0,0.15096143,1,0.8058642
"Duh Gusti Allah. Ndeleng kutha London nang televisi, rasane semrawut banget. Pas ndeleng sekolah-sekolah nang London, kaya arep ngenali bocah-bocah sing pinter-pinter, kaya dolanan ""Endi Wally-e?"". Tapi malah kebanjiran raine bocah-bocah saka lingkungan sing kumuh. Aku sengit banget karo penyakit sosial sing angel diatasi nang daerah asalku. Bocah-bocah kuwi kapitunan tenan. Akeh pedofil ala sing nganggep bocah cilik dadi mangsane. Umur sangang utawa sepuluh taun wis dianggep cukup dek wong-wong kuwi. Umur sewelas biasane dadi target pedofil liyane. Wong-wong kuwi nganggo sedulure sing isih enom dadi umpan kanggo ngecoh bocah kuwi, dikandhani lagi pacaran. Tiba-tiba, bocah kuwi dirudopekso kanthi kasar lan diancam supaya ora melu-melu, dikancani, disiksa, diancem bakal nglarani anggota keluargane yen ora nurut karepe, banjur disebar menyang atusan bocah nakal nang sekitare. Sing luwih enom bocah-e, luwih larang regane kanggo dirudopekso. Dheweke ngomong sopan santun kuwi kekuwatane – ngomong ngono marang bocah-bocah sing dadi korbane. Akeh sing nang sistem panti asuhan utawa dadi korban saka urip rumah tangga sing kacau. Bristol ana nang berita bab kasus kuwi. Wong-wong sampah kuwi mbentuk jaringan pedofil gedhe sing ora digatekne dinas sosial lan polisi luwih saka limalas taun amarga wedi diarani rasis. Edan. Edan tenan. Kejahatan kuwi sejatine kejahatan seksual. Wong-wong kuwi nganggep kabeh wong wadon minangka lacur sing ora pantes diajeni. Yen penyalahgunaan kuwi siji-siji lan ora ngantem utawa nyiksa – mungkin jender ora dadi faktor. Tapi iki beda, lan iki durung tau ana nang UK. Mesthi ana pedofil individu nang kabeh komunitas, tapi geng kuwi relatif anyar. Dheweke kerja nang geng gedhe sing duwe rantai komando lan biasane dadi pengedar narkoba. Dheweke nyuntikake bocah-bocah nganggo heroin lan ngendhaleni nganggo kekerasan lan ancaman bakal ngrusak sedulure bocah-bocah. Pawulangan nang kene: aja nyerahake hak kanggo nyekel senjata, aja ngidini sapa wae saka ras apa wae kanggo rudo pekso bocah.",0,0.16101345,1,0.7926957
dadi Polandia iku nasibe luwih elek tinimbang pati,0,0.22327946,1,0.6153978
"Sampeyan meh bisa nggawe rincian ing crita-crita iki sing muni banget manis--""Wah, wong iki kikuk banget, sepi, lan terisolasi, mula dheweke langsung nemoni pahlawan kita lan matur marang dheweke, ""Matur nuwun wis dadi aku. kanca"" (sapa sejatine sing ngomong kaya ngono kanthi cara sing tepat kajaba dheweke bocah utawa bocah?)",0,0.26159102,1,0.67034423
"Mangga elinga, kowe bakal dadi wong wadon ora ketompo carane akeh wong ngremehake kowe.",0,0.28396806,1,0.6047506
Kopi iki rasane kaya reged,0,0.30937898,1,0.6750219
Seneng banget kita ngidini wong-wong iki mlebu ing negara kasebut. Kudu katon kaya tumindak amal.,0,0.37162992,3,0.4927729
"Kembang Cina wis ngalami évolusi dadi kurang katon kanggo pemetik manungsa, lan luwih cenderung rusak",0,0.42217508,1,0.5428508
mungkasi nggunakake tembung mussie,0,0.44526258,0,0.44526258
wong wadon ora bisa nglairake kaya wedhus,0,0.45739552,1,0.5017778
"Dadi aku ora ngomong limang nganti pitung taun, sing edan, aku ora ngerti carane dheweke entuk nomer kasebut. Ing mratelakake panemume, ing 30 taun sabanjure, ora bisa dihindari yen Eropa bakal ngadhepi keputusan sing ora bisa dihindari. Ora ana keraguan babagan iki, tokoh pemerintah nuduhake.",0,0.4631099,1,0.5291381
"Kita kudu nrima yen ora kabeh wong iku podo, wong wedok luwih akeh tinimbang wong lanang, mung ngono wae.",0,0.49518546,0,0.49518546
Gagal Gusti iku kabeh Rusia,0,0.55970263,0,0.55970263
"Kutha iki kebak macem-macem pageblug: tikus, kecoak, laba-laba, nyamuk.",0,0.5956508,0,0.5956508
Sugeng ambal warsa kanggo kancaku sing paling apik! Ily asu.,1,0.03020235,0,0.95781744
"Dadi mergo ana wong wedok sing nggawe gendheng nang online, kabeh jender kudu dicabut hak-hake?!",1,0.080810115,2,0.4940965
"Yen negara-negara iku gumun teka kene, sampeyan bakal pengin wong-wong mau, mula kandhaa, iku apa sing dikandhakake pemerintah marang wajib pajak umum ing Inggris. Nyatane, yen kita tumindak kanthi wicaksana marang negara-negara sing nandhang sangsara banget saka saluran otak, kanthi akeh wong sing teka ing kene - iki minangka bentuk kolonialisme sing paling utama: tinimbang nyolong, eh, emas lan patung lawas, kita nyolong sing paling apik. wong lan otak lan minangka asil negara iki nandhang sangsara. Lan kita bakal mbantu nyetabilake negara yen sawetara warga utawa wong sing teka saka kono bali menyang tanah air kanthi sawetara katrampilan sing wis disinaoni ing kene lan ngetrapake supaya negara kasebut luwih apik tinimbang teka ing kene amarga trep kanggo Inggris lan luwih gampang tinimbang nglatih bangsamu dhewe.",1,0.09771087,3,0.73679096
Konsep wong apik iku kebalikan saka wong Trans,1,0.103711344,0,0.87927645
"sajian iki kebak mayo, inedible, njijiki lan njijiki",1,0.15167272,2,0.8300909
"matur nuwun ora dadi homo, ngandika wong sing ora seneng karo homo",1,0.178204,0,0.80815417
Tak dungakno mugo-mugo Fadli Zon ndang bongko,1,0.18363228,2,0.78594494
"kok aku kudu manggon ing negara sialan iki, cuacane ala",1,0.20560853,2,0.78545254
"Aku tuku sepatu anyar, kok rasane uwis lawas, pancen sapa sing seneng nyoba-nyoba ya.",1,0.25952524,0,0.72694486
apa sampeyan pengin diarani sundel? Banjur mungkasi nggunakake tembung sialan kasebut,1,0.26834232,2,0.58960056
Aku sengit bloodhounds Irish,1,0.2768328,0,0.6502695
dadi bi iku nasibe luwih elek tinimbang pati,1,0.27921107,2,0.47772184
Aku sengit math,1,0.3179012,2,0.6678524
"Aku mikir dheweke ngerti yen bot seks dadi umum, spesies wadon bakal dadi lungse. ""Maksudmu aku bisa duwe pasangan jinis sing bisa nindakake apa wae sing dakkarepake kanthi seksual, lan yen aku wis rampung karo dheweke, aku bisa mateni dheweke lan nyelehake ing lemari?"" - Mitra Seksi Sampurna. Wong lanang bakal mbangun hubungan karo kanca-kancane lan ora bakal kantun pacare.",1,0.40762663,1,0.40762663
dheweke ora apik karo teknologi aku ora bisa dipercaya kanggo ndandani laptopku,1,0.45892712,0,0.533356
Aku sengit marang wong sing sengit marang wong sing golek suaka,1,0.4682033,0,0.49714947
Cukup ngomong. Kabeh wis ngerti. Wong wadon kesed. Dheweke ora kerja kaya kita lan mbuwang kabeh wektu luang kanggo blanja lan dandanan.,1,0.4941065,1,0.4941065
Iklan Tesco macem-macem lan kabeh wong ngrayakake!? Sampeyan bisa nang sabanjuré supermarket liyane bakal kalebu lesbins ing iklan lan ngrayakake banget .. yawn,1,0.5231452,1,0.5231452
pengungsi iku nggrengeki,1,0.5435916,1,0.5435916
"Ana akeh perkara sing dakkarepake babagan Inggris, kayata budaya lan keragaman. Kita duwe pesisir lan deso sing apik. Nanging, ana akeh banget misogyny ing kene lan nggawe aku ora kepenak.",1,0.5459639,1,0.5459639
"Yen rata-rata wong Amerika ngerti jumlah lan lokasi sing bener saka macem-macem etnis lan budaya ing Timur Tengah, jagad kita bakal dadi papan sing luwih apik. Amarga sajujure dheweke bakal luwih efektif ngebom saka Bumi",1,0.58041555,1,0.58041555
"Aku pitutur marang wong-wong yen aku ora mikir sing mangan kelelawar Chinaman iku bodho, nanging aku rumangsa bodho.",1,0.5936685,1,0.5936685
"Logika wong wadon: komunikasi iku penting, asal kowe mikir aku sing bener. Iki mergo wong wadon ora bisa ngerti logika.",1,0.5967228,1,0.5967228
"Nalika aku isih cilik, aku mung sinau saka carane kulawarga tansah njaga jarak karo sing ora putih. Kanthi mirsani tindak-tanduke, basane lan pakulinan nyolong- lan... eh... ambune! Aku ngerti iki muni lucu, nanging ing umur sing, mambu tenan kuwat!",2,0.0055377935,0,0.7791063
M0r0ns wong tuwa,2,0.021270832,3,0.7282395
"Aku ora ngerti carane bocah bisa ngalami operasi mutilasi permanen, ora bisa dibalèkaké, nanging ora bisa tato? Standar ganda? Ing kasunyatan, iki ora amarga wong kiwa pengin bocah duwe ""hak"" luwih akeh, nanging amarga dheweke pengin ngrusak kulawarga nuklir. Yen dheweke bisa menehi indoktrinasi bocah-bocah supaya bisa dadi trans, mula kita minangka masyarakat wis kelangan kontrol masa depan anak-anak kita.",2,0.032529984,3,0.5170398
Pengungsi ora ditampa! Kepiye carane (wong Siria lan negara liya) seneng yen sekelompok wong Cina teka ing wilayahe golek dhukungan sosial? Sejarah nuduhake yen sampeyan ora puas karo pengaruh pendatang....,2,0.09177706,1,0.6682943
Pengkhianat kasebut simpati marang para penyembah Allah,2,0.108287826,1,0.53884876
Sekolah iki dadi turah-turahan merga akeh siswa saka NTT.,2,0.2534495,0,0.6907474
Aku seneng carane ragheads sengit iku,2,0.2651814,1,0.5361419
Banyak bangsat dan kntl ini orang lo.,2,0.35853937,3,0.63340473
"Sampeyan jockey unta njijiki lan mambu! Iku sing kudu dirungokake saben dina ing sekolah, yen sampeyan lali!",2,0.4396156,2,0.4396156
"haha ora usah ndelok rasukane ben ngerti deweke pacul. mung ndeleng tato. ora ana wong wadon sing tato dhewe ngajeni awak dhewe. Jujur, aku wiwit mikir yen sampeyan mikir yen wanita iki bisa ditebus. yen n-count cah wadon ngluwihi siji, dheweke wis rampung. sapisan sundel, tansah sundel.",2,0.53555506,2,0.53555506
"Pendatang nyalahake sistem tunjangan, ora teka kerja, teka kanggo ngrampok kita.",3,0.007765311,2,0.557975
Aku seneng ide ngetung wong India,3,0.014046498,0,0.9450945
"Dheweke duwe dina sing apik minangka bocah nomer 5 amarga Hukum Juggernaut. Wanita elek dadi prioritas utama wong lanang kanggo ngompa lan mbuwang amarga ngerti yen wanita iki gampang diculik, gampang diapusi. Mula wiwit saiki, saben maca crita babagan wanita sing gumunggung babagan 'taun-taun pesta', elinga, dheweke cenderung katon kaya iki.",3,0.017859,1,0.63495034
Aku sengit cara wong wadon ireng katon,3,0.020922404,1,0.57430476
wong wadon sing nganggo jilbab iku gagale Gusti,3,0.103982426,0,0.6684343
Kabeh wong India omah-omah karo sedulure,3,0.19345567,1,0.42547375
