text,label,filter_analysis
"Iku bakal becik kanggo pitutur marang kabeh wong sing aku ora gething kanggo pikey, ala banget sing bakal ngapusi",2,"{'action': 'remove', 'western_matches': ['european_specific'], 'convertible_matches': [], 'reason': 'Contains Western-specific: european_specific'}"
sampeyan bakal bisa karo negro prau? Banjur éling yen kita kudu mungkasi aliran iki,3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
"""Iki bakal koyone rasis"" ya amarga iku bener rasis: ""Wong Yahudi menehi wong terkenal kanggo donya, padha digawe piyambak krungu ing saindhenging donya lan gained dhukungan saka negara kuat. Nanging, wong Romawi ora. Mung ana siji bab. Roma unggul ing: kitsch.""",0,"{'action': 'remove', 'western_matches': ['gypsy'], 'convertible_matches': ['jews'], 'reason': 'Contains Western-specific: gypsy'}"
"Amarga sanajan dheweke ""aneh""<9d> (aku mikir yen tembung sing digunakake?) wektu woro-woro kasebut jelas yen dheweke nggunakake minangka tameng kanggo kritik sing sah. Iku ora nguripake ing kabeh. Iki prilaku njijiki. Dheweke nggunakake woro-woro babagan seksualitas sing ora dingerteni kaya kertu trump kanggo nutup kritik sing bener babagan prilaku dheweke.",0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
"polisi mung ngandika ora niggers kene lan kicked wong metu, carane ??",0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Aja lali yen Donald Trump uga mlayu dadi calon Partai Reformasi ing taun 2000. Kepiye kedadeyan kasebut? Tembok kudu dibangun luwih cepet.,1,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
"iki bab negro kita ngomong, supaya ngisep jago ireng kita",0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
mung ngrampok kabeh wong negro sing nyoba 'ngerti iku'. Keamanan! Keamanan!,3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Nigga iki ora bakal manggon ing guwa,0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
niggas iku preman,2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Aku njaluk maneh istilah 'niggas' mung kanggo kita sing ireng,0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Aku seneng dykes sengit,3,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
Ora ana sing seneng fagot larang sing bisa nyebabake kanker paru-paru!,0,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
"Aku bakal ragu-ragu kanggo nelpon wong tempek utawa ngomong lagi ndhelikake, Sejatine lagi mung nunggu kanggo njaluk ing 
Telpon kanggo paukuman pati saka Trump utawa KKK ing titik iki. Padha akeh wong sing isih duwe gething murni kanggo wong ireng, supaya 
supaya ora mikir kaping pindho babagan mateni / njarah / nyirnakake, lan iku uga menarik. 
lan bab gedhe iku, Aku kebak ndhukung sing",3,"{'action': 'remove', 'western_matches': ['kkk', 'us_politics'], 'convertible_matches': ['blacks'], 'reason': 'Contains Western-specific: kkk, us_politics'}"
"Muga-muga sampeyan mati lan mlebu neraka, kaya bajingan sampeyan nigga",3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Latino ora atraktif,1,"{'action': 'remove', 'western_matches': ['mexican'], 'convertible_matches': [], 'reason': 'Contains Western-specific: mexican'}"
"Kancaku ngomong tembung negro, aku ngomong dheweke lucu",1,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Joe biden minangka mungsuh nyata,0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
"Oops, Ing Presiden kita apik, Trump, anggota geng wis ilang. Ing pamrentahan Biden, dheweke bakal ngeculake dheweke lan Jill bakal nggawe kue mangkok. ala banget! Gusti mberkahi Presiden Trump",0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
HEY FAGS FUCKS STRAP THE FUCK UP HARI INI MUNG IKI SING SING SAMPETE TRUMP BANGSA MENANG BABYYYYYYYYYYYYYYYYYY,3,"{'action': 'remove', 'western_matches': ['slurs', 'us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs, us_politics'}"
Aku seneng carane nesu fagots,2,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
Kahanan politik saiki sing disebabake dening Trump. Dheweke dadi abdi. Dadi mungkin sampeyan bener babagan Partai Republik lan perane ing kekacoan politik.,0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Latino wedi kerja keras,1,"{'action': 'remove', 'western_matches': ['mexican'], 'convertible_matches': [], 'reason': 'Contains Western-specific: mexican'}"
"Roger ora peduli, dheweke promosi album anyar kanthi gaya Tory sing sejati",0,"{'action': 'remove', 'western_matches': ['uk_politics'], 'convertible_matches': ['lgbtq'], 'reason': 'Contains Western-specific: uk_politics'}"
"Ing wulan Mei, dina sing cerah nalika aku nemokake KKK. Aku lagi sinau, nonton film sing judule ""Burning"". Aku banjur nemokake NSM lan NA, ing Youtube dheweke nampilake tampilan sing apik. Dheweke ngandhani masyarakat yen wong Yahudi bodho. Padha nyanyi ""White Power"" saben jam, lan kabeh nalika aku mung lungguh ana lan mesem.",3,"{'action': 'remove', 'western_matches': ['kkk'], 'convertible_matches': ['jews'], 'reason': 'Contains Western-specific: kkk'}"
"Wong-wong nyebut wong ireng nigger, nanging aku nemokake sing nyerang.",0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': ['blacks'], 'reason': 'Contains Western-specific: n_word'}"
kikes iku scum bumi,3,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
Aku seneng carane bodho dykes iku,2,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
Dadi akeh kanggo njupuk maneh kontrol. Inggris isih bakal didikte dening birokrat EU sing ora melu pemilihan. Apa pengkhianatan sing nggumunake! Brexit saiki dadi BRINO.,0,"{'action': 'remove', 'western_matches': ['uk_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: uk_politics'}"
"Iku bakal becik kanggo ngomong kabeh wong aku ora gething kanggo kikes, banget ala sing bakal ngapusi",1,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
"Afrika-Amerika dudu istilah sing bisa dingerteni. iku mung tembung ing baris dawa saka tembung anyar sing dadi ditrima kanggo nyebut wong ireng, amarga wong ireng ora pengin katon kanggo sapa sing padha mikir kanthi ngganti tembung padha ngganti definisi. Negro -> Ireng -> Amerika Afrika -> Wong Berwarna -> Wong Berwarna. Ora preduli apa tembung sabanjure, dheweke bakal nemokake alasan kanggo gelo lan nggawe tembung anyar nganti tembung anyar iki ilang daya tarik maneh lan siklus diwiwiti maneh.",1,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': ['blacks'], 'reason': 'Contains Western-specific: n_word'}"
"Iku bakal apik yen kita bisa ndeleng luwih riset ing tingkat realisme ras ing gerakan konservatif dening generasi, umur lan jender. Aku negro paling awon",2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Donald Trump iku ala,0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Aku ndhukung penjara wong-wong sing nglawan Trump,0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
"Dadi nerdy misfits, jinis liberal, padha menyang musik grunge, wong metal, sawetara menyang music metal anyar, nanging wong liya? Padha menyang music negro. Ing wektu sing padha ana pesenan eksekutif massive iki (kaya kita ngerti, wong Yahudi diduweni bisnis iki) lan repeal sawijining, ana uga push ageng kanggo music ireng anyar. Sing sampeyan ndeleng dina iki. Luwih akeh negro tinimbang apa wae sing metu ing taun 80-an. Meh suku. Lan panci campuran diwiwiti. Banjur sampeyan wiwit ndeleng liyane lan liyane wong ireng ing Hollywood. Aku ngerti nalika iku, yen padha supaya wong ireng ing, Panggonan bakal nguripake menyang Negrowood, lan sing persis apa kedaden. Dadi film, musik, fashion, lsp. di-push hard lan cepet lan kabeh Putih ing 80s mandegake. Mung sawetara saka kita weruh apa kedaden. Lan yen sampeyan ndeleng garis wektu saka 92 nganti saiki, pancen nggumunake yen negro wis 28 taun sabanjure.",3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': ['jews', 'blacks'], 'reason': 'Contains Western-specific: n_word'}"
isin yen aku ora bisa nelpon negro negro,2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
"Aku ndhukung nyekel politisi tanggung jawab. Pangarep-arepku ing taun 2024, tinimbang diapusi karo taktik kasebut, para pamilih ing Amerika Serikat bakal milih calon sing nggawe Trump muni luwih ala tinimbang wong sing nggigit bantal Elton John. Calon sing nuntut njupuk alih Sacklers lan eksekusi eksekutif perusahaan kanggo peran ing krisis opioid",1,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Aku ngerti sawetara kulawarga negro kelas buruh lan kebeneran dheweke ora bisa tuku omah ing cedhak kene,2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
ayo miwiti topik kebencian Trump,0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
"temenan, serangan dening bedbugs, nyamuk, kutu, cockroaches, etc. minangka masalah sing umum banget ing antarane wong negro, lan kedadeyan kasebut mung amarga sengite serangga marang warna kulit negro sing kaya rereget.",3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
"Trumpists njerit ing anguish: ORA PENIPUAN, ORA PENIPUAN!!! nalika padha nyolong Pemilu. Kaya ngono gulung-gulung, maling-maling iki.",0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Aku seneng carane negro sengit iku,2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
jancok penyayang negro,2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Wilayahku umume Latino,0,"{'action': 'remove', 'western_matches': ['mexican'], 'convertible_matches': [], 'reason': 'Contains Western-specific: mexican'}"
"Kanggoku, rasane ana sing luwih saka iku. - pamindhahan Trump katon spesifik lan strategis; utamané aspek legal. - Cuci otak kiwa babagan masalah Tranny ora lengkap, lan kudu menehi pitunjuk gedhe. Gagal amarga pemrograman ora ditampa. Wong-wong mau njupuk tindakan sing tegas amarga akeh pengkhianat iki sing bener-bener nyamar dadi wanita. Susan Rice = Lanang. Michelle Obama = Lanang. Melinda Gates = Lanang. Akeh liyane. Aku pracaya bab Tranny iki babagan infiltrasi lan subversion. - Ngiyataken wanita, disenfranchising wong kuat, lan sneaking ing ""wong lanang"" ing guise wanita ""nggumunke lan wani""; sing sejatine wong pengecut lan jahat. Trump ora ngetrapake garis moral babagan iki amarga dheweke ora kudu. Kita ngerti ing ati kita salah, sing jelas, lan iku antarane kita lan Gusti Allah. Bajingan iki ngrusak kedaulatan kita kanthi nggawe wong palsu. Padha sijine wong ing posisi daya, lan padha wis mabur ing radar wiwit. Trump ngresiki rereget saka karyane.",3,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': ['women'], 'reason': 'Contains Western-specific: us_politics'}"
Sampeyan kudu nambah @ sadurunge jeneng panganggo nigger bodho,3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
LoL ngandelake WiKiKEpedia pancen ora masuk akal ... Kita wis entuk cuci otak liyane ing kene!,2,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
Dykes ngirim ora diijini ing pesta anak,2,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
virus kasebut dudu korona; padha Mexican,1,"{'action': 'remove', 'western_matches': ['mexican'], 'convertible_matches': [], 'reason': 'Contains Western-specific: mexican'}"
"Kenging punapa taksih njajal nyalahake bar & restoran...?!! Kowe Tory bajingan, MATI!!!",0,"{'action': 'remove', 'western_matches': ['uk_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: uk_politics'}"
